epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.131,1.91767,2.19587,1.62981,0.44083,0.49345,0.44443,0.15172,2.14577,2.2752,1.89054,0.00033284,0.00033284,0.0670489
2,279.852,1.83464,1.7671,1.59001,0.56529,0.66812,0.60917,0.22685,2.02869,1.7181,1.59808,0.000661776,0.000661776,0.0340445
3,516.871,1.78478,1.68636,1.57409,0.63898,0.66594,0.60871,0.22577,1.97907,1.79063,1.61609,0.000986313,0.000986313,0.0010357
4,880.527,1.73971,1.60902,1.54021,0.56582,0.60699,0.55632,0.23353,1.74649,2.03579,1.48661,0.0009802,0.0009802,0.0009802
5,1002.48,1.7029,1.55785,1.52431,0.62024,0.68559,0.62664,0.30445,1.67868,1.42472,1.42057,0.0009736,0.0009736,0.0009736
6,1287,1.66506,1.47311,1.50121,0.66341,0.66157,0.65558,0.30721,1.67126,1.9014,1.42254,0.000967,0.000967,0.000967
7,1480.05,1.67176,1.50188,1.50488,0.73279,0.67686,0.71864,0.25048,2.07354,1.47527,1.62691,0.0009604,0.0009604,0.0009604
8,1599.06,1.60078,1.38549,1.44774,0.68649,0.70524,0.71774,0.29791,1.81247,1.3035,1.50702,0.0009538,0.0009538,0.0009538
9,1715.78,1.61132,1.34307,1.45967,0.69529,0.70087,0.71483,0.32134,1.73715,1.30481,1.41354,0.0009472,0.0009472,0.0009472
10,1833.04,1.59882,1.30778,1.46641,0.74194,0.73362,0.76602,0.27381,1.99354,1.16391,1.54492,0.0009406,0.0009406,0.0009406
11,1950.2,1.54459,1.24751,1.41549,0.68909,0.72271,0.73596,0.28782,1.87596,1.57787,1.52303,0.000934,0.000934,0.000934
12,2065.98,1.59316,1.28969,1.44447,0.7546,0.69823,0.76123,0.35858,1.59111,1.21642,1.33708,0.0009274,0.0009274,0.0009274
13,2180.53,1.55668,1.28155,1.43096,0.68863,0.77262,0.74828,0.33924,1.61542,1.42872,1.3551,0.0009208,0.0009208,0.0009208
14,2294.42,1.53541,1.25683,1.42036,0.69568,0.76865,0.75745,0.333,1.71795,1.29649,1.43777,0.0009142,0.0009142,0.0009142
15,2404.38,1.53956,1.22925,1.41972,0.67453,0.71497,0.6943,0.3267,1.62491,1.48679,1.38285,0.0009076,0.0009076,0.0009076
16,2513.99,1.51515,1.19291,1.39641,0.75333,0.74685,0.81045,0.43556,1.46831,1.12769,1.31987,0.000901,0.000901,0.000901
17,2623.9,1.5176,1.18309,1.40212,0.75554,0.72204,0.77914,0.37158,1.61809,1.11497,1.34305,0.0008944,0.0008944,0.0008944
18,2733.71,1.50846,1.16332,1.38619,0.78508,0.76638,0.83115,0.35999,1.80767,1.17498,1.45156,0.0008878,0.0008878,0.0008878
19,2851.98,1.4995,1.14647,1.3913,0.76417,0.74017,0.80387,0.41866,1.49895,1.09538,1.28222,0.0008812,0.0008812,0.0008812
20,2971.56,1.47796,1.14935,1.37264,0.79324,0.78739,0.83303,0.41675,1.53625,0.99814,1.28584,0.0008746,0.0008746,0.0008746
21,3092.67,1.48488,1.16243,1.37744,0.65453,0.62463,0.65709,0.32306,1.82468,1.41243,1.56512,0.000868,0.000868,0.000868
22,3207.92,1.47755,1.1097,1.38545,0.79211,0.77293,0.82999,0.44838,1.4604,1.06218,1.30349,0.0008614,0.0008614,0.0008614
23,3351.98,1.42463,1.07034,1.34559,0.76212,0.77646,0.80269,0.41308,1.52937,1.09644,1.33097,0.0008548,0.0008548,0.0008548
24,3466.35,1.4472,1.07198,1.36199,0.77928,0.76419,0.82459,0.46773,1.36888,1.06049,1.23751,0.0008482,0.0008482,0.0008482
25,3588,1.48578,1.09788,1.37338,0.72599,0.73362,0.78731,0.43436,1.44735,1.06175,1.29065,0.0008416,0.0008416,0.0008416
26,3748.99,1.45116,1.07922,1.35939,0.72318,0.77948,0.8074,0.45905,1.3603,1.11064,1.25269,0.000835,0.000835,0.000835
27,3873.03,1.44216,1.04915,1.35435,0.78037,0.74236,0.8105,0.47489,1.35341,1.01132,1.24239,0.0008284,0.0008284,0.0008284
28,3995.76,1.44971,1.01821,1.34577,0.8039,0.77511,0.85275,0.49306,1.35864,1.00488,1.24314,0.0008218,0.0008218,0.0008218
29,4431.71,1.42164,1.01777,1.33715,0.78271,0.79039,0.84426,0.42033,1.63356,1.03446,1.34939,0.0008152,0.0008152,0.0008152
30,4541.28,1.43964,1.03779,1.35264,0.81986,0.79496,0.87266,0.45958,1.50611,0.97072,1.26689,0.0008086,0.0008086,0.0008086
31,4780.04,1.43795,1.03498,1.35002,0.85668,0.78306,0.87401,0.51588,1.36046,0.91789,1.25557,0.000802,0.000802,0.000802
